#: table_doi: 10.17182/hepdata.102951.v1/t7
#: name: Table 67
#: description: $v_2${EtaSubs} as a function of $p_T$ for various collision centralities (10-20%, 30-40% and 50-60%) in Au + Au collisions at midrapidity for $\sqrt{s_{NN}}$ = 7.7 GeV, 11.5 GeV, 19.6 GeV, 27 GeV and 39 GeV.
#: data_file: Fig67.yaml
#: keyword reactions: AuAu --> X
#: keyword cmenergies: 7.7 | 11.5 | 19.6 | 27 | 39
#: keyword phrases: Inclusive | Hadrons | v2 | Flow | Beam Energy Scan
#: $p_T$ (GeV/c),Au+Au 39 GeV
$p_T$ (GeV/c),$v_2${EtaSub}(10-20%),stat +,stat -,sys +,sys -
0.3,0.021,1e-05,-1e-05,0.0011,-0.0011
0.5,0.0393,1e-05,-1e-05,0.002,-0.002
0.7,0.0558,0.0001,-0.0001,0.0028,-0.0028
0.9,0.0706,0.0001,-0.0001,0.0035,-0.0035
1.1,0.0846,0.0001,-0.0001,0.0042,-0.0042
1.3,0.0975,0.0001,-0.0001,0.0049,-0.0049
1.5,0.1099,0.0002,-0.0002,0.0055,-0.0055
1.7,0.1205,0.0002,-0.0002,0.006,-0.006
1.9,0.1302,0.0003,-0.0003,0.0065,-0.0065
2.1,0.1371,0.0004,-0.0004,0.0069,-0.0069
2.3,0.1444,0.0006,-0.0006,0.0072,-0.0072
2.5,0.1487,0.0008,-0.0008,0.0074,-0.0074
2.7,0.1524,0.0011,-0.0011,0.0076,-0.0076
3,0.1592,0.0011,-0.0011,0.008,-0.008

#: $p_T$ (GeV/c),Au+Au 39 GeV
$p_T$ (GeV/c),$v_2${EtaSub}(30-40%),stat +,stat -,sys +,sys -
0.3,0.0304,0.0001,-0.0001,0.0015,-0.0015
0.5,0.0576,0.0001,-0.0001,0.0029,-0.0029
0.7,0.0824,0.0001,-0.0001,0.0041,-0.0041
0.9,0.1047,0.0001,-0.0001,0.0052,-0.0052
1.1,0.1251,0.0002,-0.0002,0.0063,-0.0063
1.3,0.1436,0.0002,-0.0002,0.0072,-0.0072
1.5,0.1604,0.0003,-0.0003,0.008,-0.008
1.7,0.1751,0.0004,-0.0004,0.0088,-0.0088
1.9,0.1868,0.0005,-0.0005,0.0093,-0.0093
2.1,0.1969,0.0007,-0.0007,0.0098,-0.0098
2.3,0.2032,0.0009,-0.0009,0.0102,-0.0102
2.5,0.2099,0.0013,-0.0013,0.0105,-0.0105
2.7,0.2182,0.0017,-0.0017,0.0109,-0.0109
3,0.2168,0.0018,-0.0018,0.0108,-0.0108

#: $p_T$ (GeV/c),Au+Au 39 GeV
$p_T$ (GeV/c),$v_2${EtaSub}(50-60%),stat +,stat -,sys +,sys -
0.3,0.0298,0.0001,-0.0001,0.0015,-0.0015
0.5,0.0571,0.0002,-0.0002,0.0029,-0.0029
0.7,0.0839,0.0002,-0.0002,0.0042,-0.0042
0.9,0.1074,0.0003,-0.0003,0.0054,-0.0054
1.1,0.1286,0.0005,-0.0005,0.0064,-0.0064
1.3,0.1469,0.0006,-0.0006,0.0073,-0.0073
1.5,0.1639,0.0008,-0.0008,0.0082,-0.0082
1.7,0.1749,0.0011,-0.0011,0.0087,-0.0087
1.9,0.1885,0.0015,-0.0015,0.0094,-0.0094
