#: table_doi: 10.17182/hepdata.93262.v1/t3
#: name: Figure 4
#: description: Charged hadron v2 for the centrality bins 5 to 10% and in steps of 10% starting at 10, 20, 30, 40, 50, 60, and 70 up to 80% along with min. bias as a function of p_T.
#: data_file: data4.yaml
#: keyword reactions: AU AU
#: keyword observables: v2
#: keyword cmenergies: 200.0
#: keyword phrases: Flow | elliptic flow
#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 min. bias [in %],error +,error -
0.225,1.89,0.009,-0.009
0.375,3.21,0.008,-0.008
0.525,4.66,0.009,-0.009
0.675,5.98,0.01,-0.01
0.825,7.2,0.01,-0.01
0.975,8.34,0.02,-0.02
1.12,9.32,0.02,-0.02
1.27,10.3,0.02,-0.02
1.42,11.2,0.03,-0.03
1.58,12 0,0.03,-0.03
1.73,12.8,0.04,-0.04
1.88,13.6,0.05,-0.05

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 70-80% [in %],error +,error -
0.225,2.76,0.12,-0.12
0.375,4.75,0.12,-0.12
0.525,6.76,0.14,-0.14
0.675,8.99,0.17,-0.17
0.825,11.2,0.22,-0.22
0.975,12.8,0.27,-0.27
1.12,15,0.33,-0.33
1.27,16.8,0.4,-0.4
1.42,18.1,0.49,-0.49
1.58,19.8,0.6,-0.6
1.73,20.5,0.73,-0.73
1.88,22.6,0.88,-0.88

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 60-70% [in %],error +,error -
0.225,2.87,0.063,-0.063
0.375,4.85,0.063,-0.063
0.525,7.09,0.075,-0.075
0.675,9.19,0.092,-0.092
0.825,11,0.11,-0.11
0.975,12.7,0.14,-0.14
1.12,14.6,0.17,-0.17
1.27,15.9,0.21,-0.21
1.42,17.3,0.25,-0.25
1.58,18.3,0.3,-0.3
1.73,19,0.37,-0.37
1.88,20.8,0.44,-0.44

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 50-60% [in %],error +,error -
0.225,3,0.04,-0.04
0.375,4.95,0.04,-0.04
0.525,7.12,0.046,-0.046
0.675,9.21,0.056,-0.056
0.825,11.2,0.068,-0.068
0.975,12.9,0.083,-0.083
1.12,14.7,0.1,-0.1
1.27,15.9,0.12,-0.12
1.42,17.5,0.15,-0.15
1.58,18.4,0.18,-0.18
1.73,19.6,0.22,-0.22
1.88,20.3,0.26,-0.26

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 40-50% [in %],error +,error -
0.225,2.79,0.028,-0.028
0.375,4.84,0.028,-0.028
0.525,7.04,0.032,-0.032
0.675,9.02,0.039,-0.039
0.825,10.9,0.047,-0.047
0.975,12.6,0.057,-0.057
1.12,14,0.069,-0.069
1.27,15.7,0.083,-0.083
1.42,16.9,0.1,-0.1
1.58,18.1,0.12,-0.12
1.73,18.8,0.14,-0.14
1.88,19.9,0.17,-0.17

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 30-40% [in %],error +,error -
0.225,2.69,0.022,-0.022
0.375,4.53,0.021,-0.021
0.525,6.52,0.024,-0.024
0.675,8.45,0.029,-0.029
0.825,10.2,0.035,-0.035
0.975,11.8,0.042,-0.042
1.12,13.1,0.05,-0.05
1.27,14.5,0.061,-0.061
1.42,15.8,0.073,-0.073
1.58,17.1,0.088,-0.088
1.73,17.9,0.11,-0.11
1.88,19.2,0.13,-0.13

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 20-30% [in %],error +,error -
0.225,2.28,0.018,-0.018
0.375,3.88,0.017,-0.017
0.525,5.66,0.02,-0.02
0.675,7.3,0.023,-0.023
0.825,8.78,0.028,-0.028
0.975,10.2,0.033,-0.033
1.12,11.5,0.04,-0.04
1.27,12.7,0.048,-0.048
1.42,13.8,0.057,-0.057
1.58,14.8,0.069,-0.069
1.73,15.8,0.083,-0.083
1.88,16.8,0.1,-0.1

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 10-20% [in %],error +,error -
0.225,1.66,0.016,-0.016
0.375,2.91,0.015,-0.015
0.525,4.29,0.018,-0.018
0.675,5.56,0.021,-0.021
0.825,6.73,0.025,-0.025
0.975,7.84,0.029,-0.029
1.12,8.81,0.035,-0.035
1.27,9.73,0.042,-0.042
1.42,10.7,0.051,-0.051
1.58,11.4,0.061,-0.061
1.73,12.3,0.073,-0.073
1.88,13.1,0.088,-0.088

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 5-10% [in %],error +,error -
0.225,1.11,0.023,-0.023
0.375,2,0.021,-0.021
0.525,2.97,0.024,-0.024
0.675,3.91,0.028,-0.028
0.825,4.72,0.034,-0.034
0.975,5.62,0.04,-0.04
1.12,6.22,0.048,-0.048
1.27,6.97,0.057,-0.057
1.42,7.52,0.069,-0.069
1.58,8.2,0.083,-0.083
1.73,8.8,0.1,-0.1
1.88,9.43,0.12,-0.12

#: Channel,charged hadrons
#: System,AU AU
#: SQRT(SNN) [GEV],200
p_T [in GeV/c],v2 0-5% [in %],error +,error -
0.225,0.689,0.027,-0.027
0.375,1.29,0.025,-0.025
0.525,2.02,0.028,-0.028
0.675,2.61,0.032,-0.032
0.825,3.23,0.038,-0.038
0.975,3.82,0.046,-0.046
1.12,4.2,0.055,-0.055
1.27,4.67,0.065,-0.065
1.42,5.21,0.079,-0.079
1.58,5.55,0.095,-0.095
1.73,6.16,0.11,-0.11
1.88,6.26,0.14,-0.14

